2023-10-30 00:23:02: Script ID = 156, Function = OnSelection took 102ms to be processed
2023-10-30 10:03:56: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 10:04:15: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 10:05:07: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 10:05:08: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 10:22:05: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 10:22:06: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 10:22:07: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 10:22:07: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 10:23:32: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 10:23:32: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 10:23:33: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 10:23:33: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 10:24:50: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 10:24:51: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 10:24:51: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 10:24:52: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 10:52:08: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:52:10: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:53:22: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:53:42: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:53:45: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:53:48: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:54:15: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:56:12: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:56:58: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:56:59: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:57:32: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:57:35: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:57:39: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:57:40: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:57:42: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:58:11: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:59:00: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:59:02: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:59:06: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:59:24: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:59:26: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:59:26: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 10:59:27: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:00:17: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:00:19: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:00:20: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:05:38: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:12:18: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 11:12:20: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 11:15:58: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 11:15:58: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 11:19:16: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 11:21:23: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 11:22:33: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 11:22:35: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 11:23:49: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 11:23:51: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 11:24:30: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 11:24:32: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 11:25:21: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:25:42: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:09: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:11: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:13: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:14: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:15: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:15: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:16: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:17: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:18: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:18: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:18: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:19: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:20: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:22: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:23: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:24: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:25: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:25: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:26: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:30: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:34: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:40: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:41: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:44: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:45:49: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:46:56: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:47:01: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:47:18: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:47:21: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 11:47:44: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 12:11:22: Script ID = 156, Function = OnSelection took 111ms to be processed
2023-10-30 12:29:51: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 12:29:56: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 12:29:57: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 12:57:31: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 12:57:32: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 13:01:44: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 13:37:35: [ERROR] Execute Lua Script function got error, Dir = 'NPC/Common/ChuongMon.lua', Function = 'Scripts[152]:OnSelection'
Lua Message: chunk_54:(414,9-92): attempt to index a nil value
Exception: MoonSharp.Interpreter.ScriptRuntimeException: attempt to index a nil value
   at MoonSharp.Interpreter.Execution.VM.Processor.ExecIndex(Instruction i, Int32 instructionPtr) in Z:\git\my\moonsharp\src\MoonSharp.Interpreter\Execution\VM\Processor\Processor_InstructionLoop.cs:line 1349
   at MoonSharp.Interpreter.Execution.VM.Processor.Processing_Loop(Int32 instructionPtr) in Z:\git\my\moonsharp\src\MoonSharp.Interpreter\Execution\VM\Processor\Processor_InstructionLoop.cs:line 279
   at MoonSharp.Interpreter.Execution.VM.Processor.Call(DynValue function, DynValue[] args) in Z:\git\my\moonsharp\src\MoonSharp.Interpreter\Execution\VM\Processor\Processor.cs:line 67
   at MoonSharp.Interpreter.Closure.Call(Object[] args) in Z:\git\my\moonsharp\src\MoonSharp.Interpreter\DataTypes\Closure.cs:line 91
   at GameServer.KiemThe.Entities.KTLuaScript.DoExecuteFunction(Script luaEnv, LuaScript script, String functionName, Object[] param) in C:\Users\Administrator\Downloads\Gs_HaoKiemTkim_Open\GameServer\KTGameServer\GameServer\KiemThe\LuaSystem\KTLuaScript.cs:line 406
2023-10-30 13:37:36: [ERROR] Execute Lua Script function got error, Dir = 'NPC/Common/ChuongMon.lua', Function = 'Scripts[152]:OnSelection'
Lua Message: chunk_54:(414,9-92): attempt to index a nil value
Exception: MoonSharp.Interpreter.ScriptRuntimeException: attempt to index a nil value
   at MoonSharp.Interpreter.Execution.VM.Processor.ExecIndex(Instruction i, Int32 instructionPtr) in Z:\git\my\moonsharp\src\MoonSharp.Interpreter\Execution\VM\Processor\Processor_InstructionLoop.cs:line 1349
   at MoonSharp.Interpreter.Execution.VM.Processor.Processing_Loop(Int32 instructionPtr) in Z:\git\my\moonsharp\src\MoonSharp.Interpreter\Execution\VM\Processor\Processor_InstructionLoop.cs:line 279
   at MoonSharp.Interpreter.Execution.VM.Processor.Call(DynValue function, DynValue[] args) in Z:\git\my\moonsharp\src\MoonSharp.Interpreter\Execution\VM\Processor\Processor.cs:line 67
   at MoonSharp.Interpreter.Closure.Call(Object[] args) in Z:\git\my\moonsharp\src\MoonSharp.Interpreter\DataTypes\Closure.cs:line 91
   at GameServer.KiemThe.Entities.KTLuaScript.DoExecuteFunction(Script luaEnv, LuaScript script, String functionName, Object[] param) in C:\Users\Administrator\Downloads\Gs_HaoKiemTkim_Open\GameServer\KTGameServer\GameServer\KiemThe\LuaSystem\KTLuaScript.cs:line 406
2023-10-30 13:37:36: [ERROR] Execute Lua Script function got error, Dir = 'NPC/Common/ChuongMon.lua', Function = 'Scripts[152]:OnSelection'
Lua Message: chunk_54:(414,9-92): attempt to index a nil value
Exception: MoonSharp.Interpreter.ScriptRuntimeException: attempt to index a nil value
   at MoonSharp.Interpreter.Execution.VM.Processor.ExecIndex(Instruction i, Int32 instructionPtr) in Z:\git\my\moonsharp\src\MoonSharp.Interpreter\Execution\VM\Processor\Processor_InstructionLoop.cs:line 1349
   at MoonSharp.Interpreter.Execution.VM.Processor.Processing_Loop(Int32 instructionPtr) in Z:\git\my\moonsharp\src\MoonSharp.Interpreter\Execution\VM\Processor\Processor_InstructionLoop.cs:line 279
   at MoonSharp.Interpreter.Execution.VM.Processor.Call(DynValue function, DynValue[] args) in Z:\git\my\moonsharp\src\MoonSharp.Interpreter\Execution\VM\Processor\Processor.cs:line 67
   at MoonSharp.Interpreter.Closure.Call(Object[] args) in Z:\git\my\moonsharp\src\MoonSharp.Interpreter\DataTypes\Closure.cs:line 91
   at GameServer.KiemThe.Entities.KTLuaScript.DoExecuteFunction(Script luaEnv, LuaScript script, String functionName, Object[] param) in C:\Users\Administrator\Downloads\Gs_HaoKiemTkim_Open\GameServer\KTGameServer\GameServer\KiemThe\LuaSystem\KTLuaScript.cs:line 406
2023-10-30 14:02:13: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 14:02:14: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 14:02:15: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 14:02:15: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 14:03:49: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 14:03:49: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 14:03:50: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 14:03:51: [ERROR] Lua Script not found, ID = '-1'
