2023-10-29 01:39:47: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10403_nam100n80 dstPlayer=203867 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:39:54: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10400_nam100n86 dstPlayer=203863 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:40:09: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10405_nam100n81 dstPlayer=203868 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:40:19: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10409_nam100n84 dstPlayer=203870 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
2023-10-29 01:40:30: [TRADE] server=1 source=7985_testtdc01 srcPlayer=203425 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=171.234.26.195 texp=171.242.16.82 friendDegree=0
2023-10-29 01:40:30: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10408_nam100n82 dstPlayer=203869 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
2023-10-29 01:40:46: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10401_nam100n87 dstPlayer=203864 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:40:55: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10404_nam100n88 dstPlayer=203866 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:40:56: [TRADE] server=1 source=8158_testtdc35 srcPlayer=203433 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=171.245.96.78 texp=171.242.16.82 friendDegree=0
2023-10-29 01:41:04: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10402_nam100n89 dstPlayer=203865 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:41:11: [TRADE] server=1 source=8017_testtdc34 srcPlayer=203437 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=116.107.19.197 texp=171.242.16.82 friendDegree=0
2023-10-29 01:41:25: [TRADE] server=1 source=8014_testtdc33 srcPlayer=203417 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=171.234.26.43 texp=171.242.16.82 friendDegree=0
2023-10-29 01:41:39: [TRADE] server=1 source=7025_testtdc32 srcPlayer=203418 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:116200 map=23 sviplevel=0 tviplevel=0 sexp=116.107.17.250 texp=171.242.16.82 friendDegree=0
2023-10-29 01:41:52: [TRADE] server=1 source=8012_testtdc31 srcPlayer=203421 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=171.233.17.118 texp=171.242.16.82 friendDegree=0
